sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
UK_C&G_C&G_1,UK,C&G,C&G,1,IF,2/1/2015,0,50.7941144,50.7941144,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_C&G_C&G_2,UK,C&G,C&G,2,FO,2/1/2015,0,42.47657215,42.47657215,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2/1/2015,0,56.88151282,56.88151282,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_C&G_C&G_4,UK,C&G,C&G,4,GUM,2/1/2015,0,65.00080571,65.00080571,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PF_1,ANZ,APT,PF,1,IF,3/1/2015,0,17.7814714,17.7814714,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PF_2,ANZ,APT,PF,2,FO,3/1/2015,0,17.694009,17.694009,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PF_3,ANZ,APT,PF,3,GUM,3/1/2015,0,42.05028985,42.05028985,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PF_4,ANZ,APT,PF,4,GUM,3/1/2015,0,0.023551595,0.023551595,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PN_1,ANZ,APT,PN,1,IF,3/1/2015,0,110.4595683,110.4595683,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PN_2,ANZ,APT,PN,2,FO,3/1/2015,0,127.8707192,127.8707192,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PN_3,ANZ,APT,PN,3,GUM,3/1/2015,0,274.953015,274.953015,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_APT_PN_4,ANZ,APT,PN,4,GUM,3/1/2015,0,150.1353467,150.1353467,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GD_1,ANZ,KC,GD,1,IF,3/1/2015,0,22.2527494,22.2527494,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GD_2,ANZ,KC,GD,2,FO,3/1/2015,0,22.11788716,22.11788716,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GD_3,ANZ,KC,GD,3,GUM,3/1/2015,0,78.52379232,78.52379232,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
